0001    That is an illegal character.                                  
0002    This usage of punctuation has me mystified.
0003    A number here is nonsense to me.
0004    Nothing can follow a quick direction word.
0005    That word is utterly beyond my limited vocabulary.
0006    I was expecting a verb there.    
0007    It seems to be empty.
0008    That is a second adverb. I can't understand it.
0009    That is a second verb (to me at least). I'm puzzled.
0010    How can I communicate with a non-sentient object?
0011    If you wish to talk to someone, you must do it yourself.
0012    I'm expecting a comma here.
0013    The word "and" doesn't make sense to me here.
0014    That seems to be trying to be a question, but it doesn't fit the
0014    allowed form.
0015    A letter cannot directly follow a number.
0016    This type of verb cannot be followed by anything.
0017    Your attempt at communication is utterly bizarre!
0018    Two adjectives are never necessary. Try choosing the best one.
0019    No object is allowed here.
0020    Your sentence is not of a form I understand.
0021    I don't know how to use that verb and preposition together the
0021    way you used them.
0022    Multiple objects are not permitted here.
0023    All but what?
0024    I don't understand that object construction.
0025    Your input is too complicated. Please shorten it.
0026    An adjective cannot modify "all".
0027    Something more is necessary after this verb.
0028    I don't understand that sentence.
0029    WORLD. C  Version 1.01 Copyright 1987 J.D. McDonald  GOOD LUCK!
0030    Don't you dare go back! After you volunteered to come here (and
0030    get out of latrine duty), you'd die of embarrassment if you
0030    turned back.
0031    As you reach the top of the pass, you encounter a region of
0031    shimmering air similar to that seen above. As you enter it, at
0031    first it seems only to slow your motion a bit. But eventually it
0031    springs back and propels you back into the valley.
0031    You are trapped!
0032    "Down" isn't enough. Specify a compass point.
0033    There's no way to do that without the proper shoes.
0034    It's too small for you to stand on.
0035    That location isn't used yet.
0036    You wandered around in the mossy underbrush and ended up back
0036    where you started.
0037    You are impaled on a sharp rock a few meters above the ground. 
0038    You are at the bottom of the chasm, with not a single intact
0038    bone in your body.
0039    There is no fire-starting material around.
0040    I don't need to, thank you.
0041    You wet your pants, you fool!
0042    That really felt good!!
0043    You idiot! You dumb turd!! You have shit in your pants!!!
0044    If you pray enough, your prayers may be answered.
0045    A deafening clap of thunder hits you out of the thin air. A deep
0045    voice intones: "You have wandered helplessly long enough. I will
0045    now return you to life."
0046    Unfortunately, you can't do that while dead.
0047    You have not attained the status necessary for walking on water
0047    It's not clear whether you ever will.
0048    Ridiculous!
0049    Wheeeeeeee!
0050    Trying to figure that out has me climbing the walls.
0051    Running slowly is a rather impossible feat, don't you think? 
0052    There's nothing here to swim in!
0053    You're carrying too much. Better get rid of something.
0054    Swimming there is either impossible or dangerous.
0055       
0055                       YOU ARE DEAD
0055    
0055
0055       After a time you notice that being dead isn't quite
0055       what you had expected. Despite obvious problems
0055       doing certain common things, you can still get about.
0055       Perhaps the situation isn't hopeless.
0055   
0055   
0055   
0056    You seem to have lost your way.
0057    I can't go up or down a compass point!
0058    It's impossible to go that way.
0059    You can't go there.
0060    You can't do that while juggling all that.
0061    You'd get tangled up in seaweed. Better not.
0062    You are carrying:
0063    You are wearing:
0064    You are empty-handed.
0065    No turning back now! Onward!
0066    I can't seem to find it.
0067    You're carrying it.
0068    You're wearing it.
0069    I can't use that word the way you used it.
0070    That's ambiguous.
0071    Huh?
0072    You are carrying too many items already.
0073    I can't find the bag.
0074    There's no water here.
0075    Done.
0076    It's happy where it is. Don't trouble it.
0077    That's not a container.
0078    That container isn't here.
0079    It's too heavy.
0080    It's too quick.
0081    Taken.
0082    Dropped.
0083    You're not wearing it.
0084    You must specify exactly what you wish to wear.
0085    You can't wear that.
0086    Wearing two of these is stupid.
0087    Okay, you are now wearing it.
0088    You will have to take it off first.
0089    You don't have it.
0090    Put it in what?
0091    That container is not readily available.
0092    It's already there.
0093    It won't fit.
0094    I don't understand that.
0095    I don't know how to do that.
0096    There's nothing special about it.
0097    You can't look into that.
0098    There's nothing to read.
0099    Going around with no shoes on is unhealthy. You might
0099    step on some poison bug.
0100    You were warned! There are some really obnoxious
0100    creatures crawling around on this alien world.
0100    You just stepped on one.
0101    Do you really wish to quit?
0102    Please answer the question "Y" or "N".
0103    Do you need general help or a specific hint?
0103    If you need general help, answer yes to the prompt.
0103    If you answer no I will offer hints based on your 
0103    present situation.
0104    You don't have the key. 
0105    Some messages (such as this one) may be too big for the screen.
0105    If so, you may proceed by typing the 'return' key. If you don't
0105    like this feature, it may be disabled by the NOMORE command and
0105    enabled buy MORE.
0105      
0105    I will attempt to the best of my ability to follow the commands
0105    you enter. I accept full sentences, but in general short 
0105    commands are better than long ones. You can put as many 
0105    sentences as you wish on a line if you separate them by periods
0105    or "then". If you try to do something I don't understand, I will
0105    try my best to give a meaningful and helpful reply. If, however,
0105    you put in something grammatically correct, I may not be too 
0105    helpful. If you use multiple sentences on a line, I may give my
0105    response far below where you typed the line, in some cases so
0105    far that your command has scrolled off the page. I look at the 
0105    first nine (9) letters of a word, and usually you must type the
0105    whole word. However, a single direction N,NE,E,SE,S,SW,W,NW,U or
0105    D preceded by an optional adverb is the best way of simple
0105    travel. Location descriptions are given in long form the first
0105    time you visit a place; afterwards shorter forms are used, 
0105    unless you enter VERBOSE. VERBOSE is canceled by the BRIEF
0105    command. At any time you may get a long description and a list
0105    of objects visible at a place by typing LOCATE or L. The command
0105    SUPERBRIEF will suppress even more messages. I will give you a
0105    list of what you are carrying if you enter INVENTORY or I.
0105
0105    Some objects must be distinguished by referring to them with 
0105    adjectives, such as RED SHIRT or GREEN SHIRT. A noun can be
0105    preceded by its proper adjective, or by none at all. Improper
0105    adjectives, or unnecessary ones, will evoke rude responses.
0105    Sometimes you must refer to an object with a phrase using "OF",
0105    such as in TAKE THE JAR OF JELLY. In this case there can be no
0105    adjective before the second noun.
0105 
0105    Particularly useful are commands such as TAKE ALL or DROP ALL,
0105    which can operate on over 25 items at once. You can also say
0105    TAKE ALL BUT GRAPE JELLY etc.
0105      
0105    You will find that particular objects are containers, and thus
0105    are useful for carrying other things around. This is most useful
0105    as you can't carry very many objects in your hands at once.
0105    Certain things can be worn, and usually should be worn. You get
0105    points for getting samples for your expedition, or sometimes for
0105    performing certain actions. For the specimens to count for full
0105    points, you must be carrying or wearing them. There are many 
0105    dangers here, so you may die a few times. Not to worry though,
0105    there is a way to resurrect yourself. If you do some things 
0105    carefully, you may live longer.
0105      
0105    If you wish you may save the present position in the game
0105    by entering SAVE, and you may then restart at this point by
0105    entering RESTORE. 
0105
0106    ***** THERE ARE TOO MANY ITEMS HERE FOR "ALL" .....
0106    ... YOU MUST SPECIFY SOME INDIVIDUALLY.****
0107    That noun and adjective together mean nothing to me.
0108    All the standing trees around here are so covered in moss that
0108    climbing them would be very dangerous.
0109    Crawling is a slow way to get around... and watch out for nasty
0109    bugs...  but okay, if you wish... crawl.
0110    What else does one swim in?
0111    What else does one swim in? Horsepiss?
0112    I don't understand that use of "of".
0113    You aren't close enough.
0114    The camera, having noticed that it isn't out in the open, 
0114    refuses to even try to take a picture.
0115    The camera, in a clear soothing voice, says "Don't waste the
0115    taxpayers money on something you already took a picture of."
0116    The camera emits a flash of light, and in a few seconds plops a
0116    picture of the pterodactyls on the ground.
0117    The camera swivels it lens appendage a bit and announces, in a
0117    disgusted voice "You better find something interesting to take
0117    a picture of. If you think am going to take one of YOU, you are
0117    far too vain."
0118    You're already at the end of the trail.
0119    Behind the horsetails is a small cave, the home of the flying
0119    reptiles.
0120    It's too dark to see very well. Try again when there is better
0120    light.
0121    There isn't enough light to read by.
0122    Better not try swimming when it is dark. There might be
0122    nocturnal carnivores in the lake.
0123    Trying to climb in the dark is dangerous. Don't do it.
0124    It is now nighttime. There are many brilliant stars in the sky
0124    so you can still get around.
0125    The red sun has already set, and the blue sun is getting low.
0125    Soon it will be night.
0126    The blue sun has risen over the horizon. It is morning twilight.
0127    As you climb over the edge of the bowl, you lose your footing on
0127    the slippery surface and slide down one side and back up the
0127    other, almost but not quite out. This up-and-down motion
0127    continues a few times until you come to rest at the bottom.
0128    The inhabitants are packed in tight. It doesn't look safe.
0129    It's very dark in there. Although grues have not reached this
0129    planet yet (it's a long way from Cambridge, MA where some
0129    slipshod genetic engineer created them), still you might fall
0129    over something and break your neck.
0130    You find it impossible to walk through the barrier.
0130    As you enter it, It begins to feel like you are walking through
0130    molasses. Every second you stay in it you slow down more. You
0130    are barely able to retreat before you are stopped permanently 
0130    inside the barrier.
0131    The sides are too steep and slippery. You are stuck.
0132    The door is closed.
0133    The lowest bar is just above your grasp.
0134    The camera makes a small beep, and after a few moments emits a
0134    photo of some Martians.
0135    The camera says in a bored voice, "I already took a picture of
0135    those things." Nothing else happens.
0136    You caught the lower crosspiece of the tower and climbed on up.
0137    You asked for it! 
0138    The lowest horizontal piece is out of your reach and the sides
